variable_nl frequency_nl timeseriesgroup_id variable_en frequency_en
afvoer 15min 192786 discharge 15min
afvoer uur 192892 discharge hour
afvoer dag 192893 discharge day
afvoer maand 192894 discharge month
afvoer jaar 192895 discharge year
bodem_verzadiging 15min 192929 soil_saturation 15min
bodem_vocht 15min 192928 soil_moisture 15min
dauwpunt_temperatuur 15min 192923 dew_point_temperature 15min
grondtemperatuur 15min 192924 ground_temperature 15min
grondwarmte 15min 192916 ground_heat 15min
instraling 15min 192920 irradiance 15min
luchtdruk 15min 192918 air_pressure 15min
luchttemperatuur175cm 15min 192922 air_temperature_175cm 15min
neerslag 1m 199792 rainfall 1min
neerslag 15min 192896 rainfall 15min
neerslag uur 192897 rainfall hour
neerslag dag 192898 rainfall day
neerslag maand 192899 rainfall month
neerslag jaar 192900 rainfall year
relatieve_vochtigheid 15min 192919 relative_humidity 15min
verdamping_monteith 15min 192927 evaporation_monteith 15min
verdamping_monteith dag 295480 evaporation_monteith day
verdamping_monteith maand 295482 evaporation_monteith month
verdamping_monteith jaar 295483 evaporation_monteith year
verdamping_penman 15min 204341 evaporation_penman 15min
verdamping_penman dag 295474 evaporation_penman day
verdamping_penman maand 295475 evaporation_penman month
verdamping_penman jaar 295479 evaporation_penman year
watersnelheid 15min 192901 water_velocity 15min
watersnelheid uur 192902 water_velocity hour
watersnelheid dag 192903 water_velocity day
watersnelheid maand 192904 water_velocity month
watersnelheid jaar 192905 water_velocity year
waterstand 15min 192780 water_level 15min
waterstand uur 192785 water_level hour
waterstand dag 192782 water_level day
waterstand maand 192783 water_level month
waterstand jaar 192784 water_level year
watertemperatuur 15min 325066 water_temperature 15min
windrichting 15min 192926 wind_direction 15min
windsnelheid 15min 192925 wind_speed 15min
